R1	72,962	26,579	49,989	2.7	1.9	2.6
R2	77,131	24,807	49,989	2.8	1.9	2.6
R3	79,216	24,807	54,534	2.8	1.9	2.6
B1	25,825	24,390	62,553	2.9	2.5	3.3
B2	65,997	24,390	50,043	3.1	2.5	3.2
B3	68,866	26,829	46,915	3.1	2.5	3.2
G1	66,218	22,514	48,118	4.5	3.8	4.8
G2	75,047	22,514	48,118	4.5	3.8	4.8
G3	66,218	26,266	52,930	4.5	3.8	4.8
